step,defers,green_w_dc0,green_w_dc1,green_w_dc2,green_w_dc3,green_w_dc4,power_w_dc0,power_w_dc1,power_w_dc2,power_w_dc3,power_w_dc4,greenratio_dc0,greenratio_dc1,greenratio_dc2,greenratio_dc3,greenratio_dc4,waste_wh_dc0,waste_wh_dc1,waste_wh_dc2,waste_wh_dc3,waste_wh_dc4,queue_dc0,queue_dc1,queue_dc2,queue_dc3,queue_dc4,util_dc0,util_dc1,util_dc2,util_dc3,util_dc4,routed_dc0,routed_dc1,routed_dc2,routed_dc3,routed_dc4
47,0,676.586669921875,1045.6600341796875,0.0,0.0,0.0,291.0625,164.1875,164.02999877929688,208.99093627929688,0.0,0.9881805181503296,0.9891449809074402,0.32177242636680603,0.0,0.0,12.666501998901367,7.585171222686768,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.01328125037252903,0.019999999552965164,0.06796874850988388,0.0,0,0,128,0,0
48,0,637.239990234375,1164.693359375,0.0,0.0,0.0,291.0625,164.1875,171.62937927246094,208.99093627929688,0.0,0.988766074180603,0.989373505115509,0.2836439907550812,0.0,0.0,12.762662887573242,7.863089561462402,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.01328125037252903,0.023749999701976776,0.06796874850988388,0.0,0,0,0,128,0
49,0,655.806640625,1502.739990234375,0.0,0.0,0.0,291.0625,164.1875,174.16250610351562,208.99093627929688,0.0,0.9892963767051697,0.9895926117897034,0.25319841504096985,0.0,0.0,12.863980293273926,8.234909057617188,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.01328125037252903,0.02500000037252903,0.06796874850988388,0.0,0,0,0,128,0
50,0,587.8133544921875,1539.6666259765625,0.0,0.0,0.0,291.0625,136.625,174.16250610351562,210.25750732421875,0.0,0.9897788763046265,0.9897681474685669,0.22865518927574158,0.0,0.0,12.9464111328125,8.624643325805664,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.010937499813735485,0.02500000037252903,0.06875000149011612,0.0,0,0,0,128,0
51,0,614.0599975585938,1797.1866455078125,0.0,0.0,0.0,291.0625,136.625,174.16250610351562,216.59031677246094,0.0,0.9902197122573853,0.9899379014968872,0.208449587225914,0.0,0.0,13.0361328125,9.08591079711914,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.010937499813735485,0.02500000037252903,0.07265625149011612,0.0,0,0,0,128,0
52,0,687.3400268554688,1789.63330078125,0.0,0.0,0.0,291.0625,136.625,174.16250610351562,226.72280883789062,0.0,0.9906241297721863,0.9901020526885986,0.19152507185935974,0.0,0.0,13.146209716796875,9.545079231262207,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.010937499813735485,0.02500000037252903,0.07890625298023224,0.0,0,0,0,128,0
53,0,741.2666625976562,1782.0799560546875,0.0,0.0,0.0,291.0625,136.625,174.16250610351562,233.0556182861328,0.0,0.9909964203834534,0.9902609586715698,0.1771424561738968,0.0,0.0,13.27126693725586,10.002150535583496,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.010937499813735485,0.02500000037252903,0.08281250298023224,0.0,0,0,0,128,0
54,0,487.0666809082031,1774.526611328125,0.0,0.0,0.0,291.0625,136.625,174.16250610351562,238.1218719482422,0.0,0.9913402795791626,0.9904148578643799,0.16476908326148987,0.0,0.0,13.325712203979492,10.457122802734375,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.010937499813735485,0.02500000037252903,0.0859375,0.0,0,128,0,0,0
55,0,664.2533569335938,1766.973388671875,0.0,0.0,0.0,291.0625,136.625,174.16250610351562,243.18812561035156,0.0,0.9916588068008423,0.9905639886856079,0.15401141345500946,0.0,0.0,13.429376602172852,10.909997940063477,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.010937499813735485,0.02500000037252903,0.08906249701976776,0.0,0,128,0,0,0
56,0,462.4200134277344,1759.4200439453125,0.0,0.0,0.0,291.0625,190.5625,174.16250610351562,243.18812561035156,0.0,0.9919547438621521,0.9907643795013428,0.14457237720489502,0.0,0.0,13.476975440979004,11.34579086303711,4.029176235198975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026875000447034836,0.014843749813735485,0.02500000037252903,0.08906249701976776,0.0,0,128,0,0,0
